Date,Time,RSSI(dB),SWR,VSpd(m/s),Alt(m),A2(V),RxBt(V),Rud,Ele,Thr,Ail,S1,6P,S2,L1,L2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2018-12-17,08:36:55.220,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,1024,-1024,30,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,0.0
2018-12-17,08:36:55.420,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,1024,-1024,30,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,0.0
2018-12-17,08:36:55.630,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,1024,-1024,30,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,0.0
2018-12-17,08:36:55.830,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,1024,-1024,30,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,0.0
2018-12-17,08:36:56.030,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,1024,-1024,30,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,0.0
2018-12-17,08:36:56.230,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,1024,-1024,30,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:36:56.430,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,1024,-1024,30,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:36:56.630,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,1024,-1024,30,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:36:56.830,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,1024,-1024,30,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:36:57.040,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,1024,-1024,30,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:36:57.240,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,1024,-1024,30,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:36:57.440,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,1024,-1024,30,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:36:57.640,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,1024,-1024,30,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:36:57.840,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,1024,-1024,30,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:36:58.040,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,1024,-1024,30,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:36:58.250,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,1024,-1024,30,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
