Date,Time,Cels(V),RSSI(dB),RxBt(V),Rud,Ele,Thr,Ail,S1,6P,S2,L1,L2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2018-08-08,19:04:15.330,23.70,80,4.8,-6,-8,-1014,8,-41,-1024,7,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:04:15.530,23.70,80,4.8,-6,-8,-1014,8,-41,-1024,7,1024,1024,0,-1,-1,-1,-1,1,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:04:15.730,23.70,80,4.8,-6,-8,-1014,8,-41,-1024,7,1024,1024,0,0,-1,-1,-1,1,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:04:15.930,23.70,80,4.8,-6,-8,-1014,8,-41,-1024,7,1024,1024,0,0,-1,-1,-1,1,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:04:16.130,23.70,80,4.8,-6,-8,-1013,8,-41,-1024,7,1024,1024,0,0,-1,-1,-1,1,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:04:16.330,23.70,80,4.8,-4,-8,-1014,8,-41,-1024,7,1024,1024,0,0,-1,-1,-1,1,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:04:16.530,23.70,80,4.8,-6,-8,-1014,8,-41,-1024,7,1024,1024,0,0,-1,-1,-1,1,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:04:16.730,23.70,80,4.8,-6,-8,-1014,8,-41,-1024,7,1024,1024,0,-1,-1,-1,-1,1,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:04:16.930,23.70,80,4.8,-6,-8,-1014,8,-41,-1024,7,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:09:59.590,0.00,0,0.0,-6,-8,-25,9,-115,-1024,7,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:09:59.780,0.00,0,0.0,-6,-8,-25,9,-115,-1024,7,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:09:59.980,0.00,0,0.0,-6,-8,-25,9,-115,-1024,7,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:10:00.180,0.00,0,0.0,-6,-8,-25,9,-115,-1024,7,1024,1024,0,0,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:10:00.380,0.00,0,0.0,-6,-8,-25,9,-115,-1024,7,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:10:00.580,0.00,0,0.0,-6,-8,-25,9,-115,-1024,7,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:10:00.780,0.00,0,0.0,-6,-8,-25,9,-115,-1024,7,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:10:00.980,0.00,0,0.0,-6,-8,-25,9,-115,-1024,7,1024,1024,0,0,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:10:01.180,0.00,0,0.0,-6,-8,-23,9,-115,-1024,7,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:10:01.380,0.00,0,0.0,-6,-8,-23,9,-115,-1024,7,1024,1024,0,0,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:10:01.580,0.00,0,0.0,-6,-8,-25,9,-115,-1024,7,1024,1024,0,0,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:10:01.780,0.00,0,0.0,-6,-8,-23,10,-115,-1024,7,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:10:01.980,0.00,0,0.0,-6,-8,-25,9,-115,-1024,7,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:10:02.180,0.00,0,0.0,-6,-8,-25,9,-115,-1024,7,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:10:02.380,0.00,0,0.0,-6,-8,-25,10,-115,-1024,7,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:10:02.580,0.00,0,0.0,-6,-8,-25,9,-115,-1024,7,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:10:02.780,0.00,0,0.0,-6,-8,-23,9,-115,-1024,7,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:10:02.980,0.00,0,0.0,-6,-8,-25,9,-115,-1024,7,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:10:03.180,0.00,0,0.0,-6,-8,-23,9,-115,-1024,7,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:10:03.380,0.00,0,0.0,-6,-8,-23,9,-115,-1024,7,1024,1024,0,0,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:10:03.580,0.00,0,0.0,-6,-8,-25,9,-115,-1024,7,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:10:03.780,0.00,0,0.0,-6,-8,-25,9,-115,-1024,7,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:10:03.980,0.00,0,0.0,-6,-8,-25,9,-115,-1024,7,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:10:04.180,0.00,0,0.0,-6,-8,-25,9,-115,-1024,7,1024,1024,0,0,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:10:04.380,0.00,0,0.0,-6,-8,-25,9,-115,-1024,7,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:10:04.580,0.00,0,0.0,-6,-8,-23,9,-115,-1024,7,1024,1024,0,0,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:10:04.780,0.00,0,0.0,-6,-8,-25,9,-115,-1024,7,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:10:04.980,0.00,0,0.0,-6,-8,-23,9,-115,-1024,7,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:10:05.180,0.00,0,0.0,-6,-8,-25,9,-115,-1024,7,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:10:05.380,0.00,0,0.0,-4,-8,-23,9,-115,-1024,7,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:10:05.580,0.00,0,0.0,-4,-8,-23,9,-115,-1024,7,1024,1024,0,0,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:10:05.780,0.00,0,0.0,-6,-8,-25,9,-115,-1024,7,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:10:05.980,0.00,0,0.0,-6,-8,-25,9,-115,-1024,7,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:10:06.180,0.00,0,0.0,-6,-8,-25,9,-115,-1024,7,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:10:06.380,0.00,0,0.0,-6,-8,-25,9,-115,-1024,7,1024,1024,0,0,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:10:06.580,0.00,0,0.0,-6,-8,-23,9,-115,-1024,7,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:10:06.780,0.00,0,0.0,-6,-8,-25,9,-115,-1024,7,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:10:06.980,0.00,0,0.0,-6,-8,-23,9,-115,-1024,7,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:10:07.210,0.00,0,0.0,-6,-8,-25,9,-115,-1024,7,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:10:07.410,0.00,0,0.0,-6,-8,-23,9,-115,-1024,7,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:10:07.610,0.00,0,0.0,-6,-8,-25,9,-115,-1024,7,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:10:07.810,0.00,0,0.0,-6,-8,-25,9,-115,-1024,7,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:10:08.010,0.00,0,0.0,-4,-8,-25,9,-115,-1024,7,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:10:08.210,0.00,0,0.0,-6,-8,-23,9,-115,-1024,7,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:10:08.410,0.00,0,0.0,-6,-8,-25,9,-115,-1024,7,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:10:08.610,0.00,0,0.0,-6,-8,-23,9,-115,-1024,7,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:10:08.810,0.00,0,0.0,-6,-8,-25,9,-115,-1024,7,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:10:09.010,0.00,0,0.0,-6,-8,-25,9,-115,-1024,7,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:10:09.210,0.00,0,0.0,-6,-8,-25,9,-115,-1024,7,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:10:09.420,0.00,0,0.0,-6,-8,-23,9,-115,-1024,7,1024,1024,0,0,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:10:09.620,0.00,0,0.0,-6,-8,-25,9,-115,-1024,7,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:10:09.820,0.00,0,0.0,-6,-8,-25,9,-115,-1024,7,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:10:10.020,0.00,0,0.0,-6,-8,-23,9,-115,-1024,7,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:10:10.220,0.00,0,0.0,-6,-8,-23,9,-115,-1024,7,1024,1024,0,0,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:10:10.420,0.00,0,0.0,-4,-8,-25,9,-115,-1024,7,1024,1024,0,0,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:10:10.620,0.00,0,0.0,-4,-8,-25,10,-115,-1024,7,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:10:10.820,0.00,0,0.0,-6,-8,-25,9,-115,-1024,7,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:10:11.020,0.00,0,0.0,-4,-8,-25,9,-115,-1024,7,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:10:11.220,0.00,0,0.0,-6,-8,-23,10,-115,-1024,7,1024,1024,0,0,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:10:11.420,0.00,0,0.0,-6,-8,-25,9,-115,-1024,7,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:10:11.620,0.00,0,0.0,-6,-8,-25,9,-115,-1024,7,1024,1024,0,0,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:10:11.820,0.00,0,0.0,-6,-8,-25,9,-115,-1024,7,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:10:12.020,0.00,0,0.0,-6,-8,-25,9,-115,-1024,7,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:10:12.220,0.00,0,0.0,-6,-8,-25,9,-115,-1024,7,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
2018-08-08,19:10:12.420,0.00,0,0.0,-6,-8,-23,9,-115,-1024,7,1024,1024,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0000000000000002,8.3
